season,team,season_type,games,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance_list
2009,ARI,REG,16,393,595,4205,28,18,26,-184,10,5,4579,1770,217,38.3532941905699,3.88028098229046,0,364,1489,15,12,7,84,-45.8217228751164,0,393,587,4205,28,5,4,4579,1770,217,74.4904727786393,0,2,709,138,166,0,0,10,41,244,76,21,338,90,1,5,0,134,11,14,8,8,0,108,886,52,45,308,54,1284,18,19,1,0,48,0.947368421052632,1,4,6,7,0,0,0,0,0,1,0,0,44;29;43;45;38;29;31;30;43;30;27;41;31;30;29;48;48;19,48,,635,48,0,45,46,0,1,0.978260869565217,0,0,0,0,
2009,ATL,REG,16,332,570,3697,26,17,27,-126,6,2,4732,1520,193,47.4796156631486,-1.65441884360184,0,451,1876,15,5,3,109,-21.8152158574432,0,332,548,3697,26,3,1,4732,1520,193,101.431377120295,0,0,647,155,201,0,0,20,28,170,58,15,158,64,1,3,0,16,9,9,13,13,2,78,664,58,27,260,55,1336,19,29,8,2,51,0.655172413793103,0,6,8,3,2,0,0,0,4,3,1,0,36;50;26;40;25;40;33;35;24;25;45;37;36;30;27;24;51;36;36,42;38;34;51;34;35;43;48,55;40,656,325,95,42,43,1,0,0.976744186046512,0,0,0,0,
2009,BAL,REG,16,321,510,3637,21,13,37,-224,6,2,4411,1665,188,43.2249879475074,2.57537547216947,0,467,2206,22,6,3,121,11.1626251333377,0,321,507,3637,21,2,2,4411,1665,188,90.3010543674943,0,1,662,180,218,0,0,15,32,190,60,22,346,81,2,3,0,0,9,9,10,11,1,115,1094,63,39,290,59,1547,21,30,9,0,46,0.7,0,6,9,6,0,0,0,0,5,2,2,0,44;33;36;33;29;43;35;31;44;46;44;38;36;20;24;29;38;25;40;27;35,41;44;38;36;30;56;30;37;51,,730,363,0,46,47,0,1,0.978723404255319,1,2,1,0,44;29
2009,BUF,REG,16,256,441,2789,17,19,46,-274,3,2,3549,1374,127,-78.6493390414788,-1.76079786486096,0,425,1867,6,6,3,85,-37.0339489610906,0,256,435,2789,17,2,1,3549,1351,127,-15.4464153206599,0,0,585,318,362,0,0,14,34,200,70,28,335,82,2,7,0,51,11,12,5,5,0,107,855,57,33,218,64,1517,28,33,5,0,56,0.848484848484848,0,12,9,6,1,0,0,0,0,3,2,0,40;31;43;27;20;35;36;33;25;47;29;22;21;25;26;28;22;56;49;32;41;24;36;25;42;31;33;36,49;46;44;51;56,,915,246,0,24,24,0,0,1,1,1,0,0,47
2009,CAR,REG,16,264,465,3070,16,20,33,-271,5,3,4149,1275,152,-46.905853832793,-3.63286954164505,1,525,2498,18,11,6,128,-6.06414903230512,1,264,456,3070,16,3,0,4149,1240,152,24.9360506679671,1,0,691,128,202,0,0,22,31,193,67,22,235,68,1,5,2,0,9,12,15,15,0,88,698,55,34,282,51,992,22,27,3,2,50,0.814814814814815,0,7,9,5,1,0,0,0,1,1,1,0,22;38;50;43;35;31;32;25;29;33;48;40;28;23;40;23;36;38;27;41;39;37,43;39;53,52;51,758,135,103,31,32,0,1,0.96875,0,0,0,0,
2009,CHI,REG,16,340,563,3677,27,27,34,-203,5,1,4605,1600,170,-56.0178351857635,0.380484123487744,2,374,1491,6,10,3,76,-37.6540842934521,0,340,556,3677,27,3,1,4605,1600,170,-13.6415038827392,2,2,729,136,218,0,0,21,33,253,80,13,144,53,1,4,1,0,18,20,15,15,0,100,836,63,39,330,80,1979,24,28,2,2,52,0.857142857142857,0,9,6,7,2,0,0,0,0,1,1,0,47;21;44;37;52;22;22;37;29;32;50;38;45;28;28;49;38;27;22;42;41;44;28;34,53;45,48;48,857,98,96,33,33,0,0,1,0,0,0,0,
2009,CIN,REG,16,286,477,3134,21,13,29,-244,5,4,3877,1314,159,27.4108013930143,-0.499034578441288,1,505,2056,9,8,1,117,-30.0001342507005,1,286,468,3134,21,7,5,3877,1314,159,76.6307037372911,1,1,621,88,306,0,0,11,34,237,72,19,259,96,2,3,0,0,10,14,6,6,1,114,863,59,40,474,62,1356,23,28,3,2,53,0.821428571428571,0,10,8,3,2,0,0,0,1,0,2,0,40;34;31;32;50;29;23;23;32;32;43;25;37;53;28;44;39;23;22;26;25;34;29,52;51;37,23;32,754,140,55,28,29,0,1,0.96551724137931,1,1,0,0,31
2009,CLE,REG,16,219,443,2255,11,18,30,-179,6,4,3719,1058,118,-124.376352864976,-10.2559558961975,0,498,2087,10,6,4,108,-37.7243649823517,1,219,437,2255,11,5,4,3719,1054,118,-76.8815306704092,0,4,695,168,254,0,0,11,40,240,90,10,161,73,0,2,1,0,7,11,9,9,0,77,678,58,39,456,69,1670,23,25,2,0,49,0.92,1,11,6,5,0,0,0,0,0,1,1,0,37;20;22;47;29;26;31;24;18;22;44;29;49;29;29;47;30;42;33;34;27;21;33,43;52,,723,95,0,22,23,0,1,0.956521739130435,1,1,0,0,18
2009,DAL,REG,16,347,550,4483,26,9,34,-196,3,3,4163,2295,203,113.027905998308,0.720691697373568,0,436,2103,14,6,3,115,-4.42543267893792,1,347,543,4483,26,3,2,4163,2295,203,169.368017477333,0,2,652,84,212,0,0,16,42,259,91,11,33,90,1,7,0,17,7,9,10,10,0,115,892,55,39,426,48,1032,20,31,11,0,51,0.645161290322581,1,6,6,6,1,0,0,1,2,7,1,0,51;22;47;24;19;49;22;28;38;46;34;40;22;33;36;34;31;44;23;44,40;40;48;38;46;49;57;42;42;24;30,,687,456,0,41,41,0,0,1,0,0,0,0,
2009,DEN,REG,16,341,558,3825,21,13,34,-198,4,3,3944,1976,186,6.6937866801794,-1.96810653854236,0,440,1836,9,6,4,97,-38.5069680659645,0,341,554,3825,21,2,2,3944,1969,186,54.1151065083735,0,2,674,122,206,0,0,20,39,241,64,17,171,84,0,1,0,0,5,6,13,13,2,94,805,64,45,419,57,1217,30,35,5,0,51,0.857142857142857,0,14,6,8,2,0,0,0,2,2,1,0,48;50;23;38;48;21;24;28;24;41;34;29;40;24;23;26;32;47;24;44;38;37;28;23;43;51;21;33;46;25,39;37;48;54;42,,1013,220,0,32,32,0,0,1,1,1,0,0,41
