season,team,season_type,games,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance_list
2011,ARI,REG,16,307,550,3954,21,23,54,-387,9,2,4876,1730,175,-67.9811841017139,-5.89253442730348,0,389,1625,12,8,4,87,-14.7408255578952,0,307,541,3954,21,4,2,4876,1730,175,12.819638851276,0,4,788,54,214,0,0,12,42,304,83,10,117,88,0,3,0,0,14,17,9,9,0,106,1004,55,46,696,52,1246,19,24,5,0,51,0.791666666666667,0,9,4,5,1,0,0,0,2,2,1,0,44;27;27;51;32;45;27;38;29;37;22;48;23;33;22;29;41;43;28,36;51;49;35;43,,646,214,0,33,33,0,0,1,2,2,0,0,22;28
2011,ATL,REG,16,365,594,4365,29,13,26,-173,5,3,5328,1786,216,79.2089143139364,1.80768871942337,0,453,1834,14,4,3,103,-38.5681357694406,0,365,582,4365,29,2,1,5328,1786,216,128.460645115091,0,0,637,29,291,0,0,13,32,229,82,19,301,86,2,1,0,0,2,2,10,10,1,93,769,56,33,315,24,563,27,29,2,0,51,0.931034482758621,2,9,9,5,2,0,0,0,0,2,0,0,48;25;26;33;47;50;42;24;23;47;40;20;36;29;27;19;33;24;37;19;30;33;31;34;51;30;20,41;46,,878,87,0,45,45,0,0,1,0,0,0,0,
2011,BAL,REG,16,314,544,3629,21,12,33,-206,9,6,5034,1591,181,31.2338180791931,-1.68313427850632,0,459,1996,15,6,4,101,-26.9447172532237,1,314,541,3629,21,1,0,5034,1591,181,89.5332096988314,0,1,623,112,254,0,0,21,48,290,90,15,175,112,1,4,0,0,12,13,11,11,3,92,742,56,36,345,42,1047,30,39,9,0,51,0.769230769230769,1,9,10,9,1,0,0,0,2,2,5,0,29;30;41;29;21;31;38;38;38;43;48;25;33;40;26;47;25;18;43;51;35;22;39;23;39;21;36;48;43;42,51;51;52;40;50;52;34;41;36,,1042,407,0,40,40,0,0,1,1,1,0,0,25
2011,BUF,REG,16,356,578,3857,24,25,23,-154,2,0,4426,1876,180,-14.9739307701667,0.714037722707216,0,391,1921,12,10,4,108,3.68751832526648,1,356,569,3857,24,1,1,4426,1876,180,20.7976385088606,0,1,632,146,310,0,0,15,28,194,56,20,341,70,4,1,1,0,10,13,11,11,2,86,743,55,26,329,37,853,23,31,7,1,56,0.741935483870968,0,11,5,5,2,0,0,1,1,3,2,0,29;38;25;42;28;43;23;25;49;37;44;41;24;30;56;53;27;37;34;28;25;25;29,44;52;53;26;45;31;45,39,792,296,39,41,41,0,0,1,1,1,0,0,28
2011,CAR,REG,16,312,519,4089,21,17,35,-260,3,2,4902,1954,175,52.4645950754088,-0.259819524745419,2,445,2408,26,3,0,147,67.5246425265614,0,312,512,4089,21,6,4,4902,1954,175,96.9936980663655,2,1,665,54,260,0,0,12,31,170,50,14,197,74,0,0,2,0,5,7,10,10,0,113,1013,52,32,176,39,926,22,28,4,2,45,0.785714285714286,1,7,6,8,0,0,0,0,2,0,2,0,20;33;21;35;32;29;39;38;42;20;45;45;40;29;27;31;40;41;43;21;19;41,52;31;50;36,34;45,731,169,79,44,45,0,1,0.977777777777778,0,0,0,0,
2011,CHI,REG,16,268,473,3346,18,20,49,-335,7,2,4190,1355,154,-60.7168347440273,-2.21068784594536,0,456,2015,10,7,4,102,-35.7388912811104,1,268,466,3346,18,7,3,4190,1355,154,-2.89053103791899,0,3,759,6,188,0,0,14,33,194,66,20,177,67,4,5,1,0,13,15,11,11,3,104,800,63,30,470,57,1238,28,32,4,0,57,0.875,0,10,6,6,6,0,0,0,0,4,0,0,41;23;26;42;38;25;20;24;44;49;51;26;22;25;51;38;22;43;35;50;42;50;53;32;57;35;30;27,41;43;41;49,,1021,174,0,37,37,0,0,1,0,0,0,0,
2011,CIN,REG,16,308,535,3507,21,14,25,-167,3,2,4471,1385,161,-3.67766955328949,-2.12987024857027,0,455,1778,10,7,2,99,-37.6208534287538,0,308,523,3507,21,2,1,4471,1385,161,39.5360656398629,0,1,649,29,333,0,0,18,45,277,107,10,137,75,1,2,1,0,7,7,12,12,2,99,874,56,53,610,45,1026,33,38,4,1,49,0.868421052631579,0,14,5,14,0,0,0,0,2,2,0,0,24;47;45;37;23;22;23;31;21;43;47;20;43;34;48;36;43;27;23;40;26;22;47;49;28;21;41;24;41;32;46;46;23,43;35;48;36,33,1123,162,33,33,34,1,0,0.970588235294118,1,1,0,0,43
2011,CLE,REG,16,320,570,3300,16,13,39,-210,5,2,4206,1391,174,-58.7571901543296,-4.9356045600559,0,415,1531,4,10,3,86,-44.7274441845584,0,320,562,3300,16,2,0,4206,1391,174,4.06416018794413,0,1,700,44,280,0,0,15,31,196,62,9,93,71,0,5,0,0,14,16,11,11,0,95,847,68,38,423,48,1134,24,29,3,2,54,0.827586206896552,0,7,3,7,7,0,0,1,1,0,1,0,20;20;23;30;48;51;47;52;53;52;50;51;44;32;43;27;32;54;21;20;44;26;45;49,22;38;55,48;24,934,115,72,20,20,0,0,1,0,1,1,0,22
2011,DAL,REG,16,376,570,4453,33,12,39,-252,4,3,4366,2063,220,88.9328139578986,4.24056516370315,0,408,1807,5,8,3,95,-41.1962480098154,0,376,562,4453,33,4,2,4366,2063,220,147.303384572375,0,0,647,71,221,0,0,13,42,243,92,15,217,59,1,2,0,0,14,16,9,9,0,114,816,59,41,293,33,768,32,37,4,1,51,0.864864864864865,1,8,11,10,2,0,0,1,0,1,2,0,34;48;19;41;27;32;41;23;40;41;35;23;48;22;26;30;51;20;20;42;45;36;31;37;39;32;28;50;37;49;49;30,21;53;49;52,47,1126,175,47,39,39,0,0,1,3,3,0,0,19;39;28
2011,DEN,REG,16,217,429,2708,20,13,42,-274,8,6,4716,984,130,-64.4346614052311,-6.23019842598676,0,546,2632,11,11,7,133,-19.4686414585741,3,217,422,2708,20,6,3,4716,984,130,8.10794556352511,0,2,755,42,218,0,0,11,40,266,82,9,152,60,3,4,0,0,11,13,9,9,0,101,842,64,47,596,39,956,19,25,5,1,59,0.76,0,5,8,3,3,0,0,0,0,4,1,0,28;30;34;27;35;52;39;43;38;37;41;24;37;46;23;59;51;26;38,56;49;43;43;41,28,708,232,28,30,30,0,0,1,4,4,0,0,52;37;23;51
