season,team,season_type,games,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance_list
2005,ARI,REG,16,419,670,4719,21,21,45,-286,9,7,0,4719,224,14.1996710763233,,1,360,1138,2,10,5,67,-85.039757542053,2,419,0,4719,21,3,2,0,0,224,339.692105256787,1,0,664,125,179,0,0,19,37,221,0,15,285,69,3,2,0,0,10,12,11,11,0,145,1185,64,50,385,76,1719,43,45,2,0,54,0.955555555555556,1,11,12,13,6,0,0,0,0,1,1,0,24;42;29;26;48;35;54;39;50;39;40;45;48;23;43;24;39;49;33;24;52;47;23;31;50;44;51;28;32;33;51;42;30;35;19;44;20;26;42;32;32;28;42,43;54,,1588,97,0,20,20,0,0,1,0,0,0,0,
2005,ATL,REG,16,247,451,2907,19,13,40,-237,7,4,0,2907,150,-13.5579084934714,,4,530,2559,17,8,4,147,8.49347098853892,0,247,0,2907,19,5,4,0,0,150,221.579520204168,4,1,679,132,196,0,0,14,37,257,0,16,268,71,0,6,1,59,6,7,13,13,2,114,1043,55,31,261,70,1482,24,27,2,1,58,0.888888888888889,0,9,11,3,1,0,0,0,0,1,1,0,30;27;38;26;39;33;58;37;36;22;41;21;37;31;20;21;23;36;43;43;20;30;31;29,55;49,28,772,104,28,35,35,0,0,1,1,1,0,0,36
2005,BAL,REG,16,335,562,3381,17,21,43,-299,8,2,0,3381,163,-42.4806600197873,,0,451,1611,5,10,8,101,-66.3870172807695,1,335,0,3381,17,5,4,0,0,163,237.665539146018,0,0,686,142,200,0,0,19,41,267,0,12,193,71,1,1,0,0,13,16,14,14,2,139,1067,70,39,431,60,1289,30,35,5,0,49,0.857142857142857,1,8,10,11,0,0,0,0,1,3,1,0,30;42;25;46;39;27;38;40;29;22;40;49;47;34;32;31;41;47;25;44;38;29;23;40;37;38;19;21;43;31,38;47;45;43;54,,1047,227,0,23,23,0,0,1,2,2,0,0,44;38
2005,BUF,REG,16,270,460,2852,18,16,42,-335,11,5,0,2852,129,-41.2920526666628,,0,429,1605,6,9,4,111,-55.898336069415,0,270,0,2852,18,1,0,0,0,129,226.870512852742,0,1,607,223,359,0,0,16,38,269,0,17,233,77,1,3,1,0,12,19,13,13,0,120,897,67,28,279,75,1992,29,35,6,0,53,0.828571428571429,0,8,11,7,3,0,0,1,2,3,0,0,35;21;42;39;31;40;36;41;30;24;47;50;38;41;23;35;41;53;31;45;33;31;21;24;22;21;24;52;36,45;46;28;31;32;48,,1007,230,0,26,26,0,0,1,0,0,0,0,
2005,CAR,REG,16,269,449,3485,25,16,27,-211,10,6,0,3485,158,52.8407064940079,,0,487,1679,17,6,0,85,-54.7785859194874,0,269,0,3485,25,3,2,0,0,158,290.579961701806,0,0,707,90,202,0,0,17,42,289,0,23,440,95,2,1,0,0,11,12,19,19,1,91,732,50,41,444,53,1083,26,34,7,1,52,0.764705882352941,1,8,8,6,3,0,0,0,0,3,3,1,39;46;51;52;52;32;38;46;44;30;20;23;42;28;38;25;25;20;39;32;29;24;47;19;41;34,53;62;56;46;45;42;50,52,916,354,52,43,44,0,1,0.977272727272727,0,0,0,0,
2005,CHI,REG,16,219,418,2201,11,15,31,-199,6,3,0,2201,112,-75.9405843507803,,0,488,2099,11,9,5,105,-65.6223773375371,0,219,0,2201,11,3,2,0,0,112,172.754288553228,0,2,711,156,198,0,0,20,40,275,0,24,524,95,4,12,0,107,18,22,10,10,0,105,850,57,46,421,55,1092,22,31,9,0,48,0.709677419354839,0,9,9,4,0,0,0,0,3,6,0,0,48;44;23;38;20;35;28;37;33;39;25;36;21;40;25;35;29;35;29;39;45;22,48;36;39;48;47;47;39;43;44,,726,391,0,26,27,1,0,0.962962962962963,1,1,0,0,28
2005,CIN,REG,16,362,538,3935,32,14,22,-118,4,2,0,3935,205,108.710186832646,,1,458,1913,15,3,0,110,4.42597438944075,0,362,0,3935,32,9,4,0,0,205,312.569100948285,1,0,666,87,279,0,0,19,26,164,0,31,260,76,1,1,0,0,9,10,13,13,0,110,920,58,28,157,67,1580,28,32,4,0,49,0.875,0,11,10,7,0,0,0,0,1,2,1,0,32;23;40;29;30;33;24;27;46;31;48;21;26;39;43;41;44;26;31;30;21;27;37;28;33;31;27;49,42;52;30;48,,917,172,0,47,47,0,0,1,1,1,0,0,37
2005,CLE,REG,16,297,498,3323,15,18,46,-271,9,6,0,3323,149,-61.1206317603542,,0,394,1496,4,12,5,85,-66.2652979778787,0,297,0,3323,15,1,1,0,0,149,237.886655038081,0,3,568,283,343,0,0,12,25,155,0,15,130,71,0,0,0,59,14,18,8,8,0,99,770,66,37,373,69,1506,27,29,2,0,44,0.931034482758621,2,11,9,5,0,0,0,0,2,0,0,0,29;34;21;39;40;22;19;44;24;30;28;29;37;37;19;23;40;24;32;38;41;29;44;24;37;21;39,39;34,,844,73,0,19,21,1,1,0.904761904761905,1,1,0,0,37
2005,DAL,REG,16,300,500,3639,23,17,50,-298,8,4,0,3639,177,48.2489748318899,,1,521,1861,13,14,6,109,-68.2217292923611,0,300,0,3639,23,4,3,0,0,177,289.658661053758,1,0,665,63,191,0,0,15,37,236,0,15,187,84,2,5,0,0,19,25,11,11,0,99,739,56,45,284,64,1523,20,28,6,2,56,0.714285714285714,1,9,6,3,1,0,0,1,2,3,0,0,33;41;29;30;28;33;37;45;29;28;45;21;21;21;19;56;34;34;24;22,41;48;29;34;38;47,49;32,630,237,81,35,36,1,0,0.972222222222222,1,1,0,0,45
2005,DEN,REG,16,279,465,3373,18,7,24,-151,2,1,0,3373,163,61.338815761365,,1,541,2544,25,6,3,148,40.3652954984426,0,279,0,3373,18,6,4,0,0,163,253.671819118469,1,0,664,74,156,0,0,21,28,193,0,20,379,108,3,5,1,16,8,9,16,16,0,97,756,69,33,281,48,970,24,32,7,1,51,0.75,0,9,5,9,1,0,0,1,0,3,3,0,28;45;41;30;51;25;33;42;49;42;27;22;38;25;26;47;24;22;40;47;48;29;33;34,53;53;46;41;49;52;28,46,848,322,46,43,44,1,0,0.977272727272727,2,2,0,0,41;24
