season,team,season_type,games,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance_list
2008,ARI,REG,16,419,631,4874,31,15,28,-201,11,7,4573,2219,231,105.389516923947,5.10943314721507,0,339,1179,14,5,2,76,-48.2742612317352,1,419,2,4874,31,6,4,4573,2219,231,359.940800100269,0,3,672,150,184,0,0,20,31,191,70,13,293,75,2,3,0,71,12,14,17,17,1,107,781,61,33,237,75,1630,25,28,2,1,54,0.892857142857143,0,9,9,6,1,0,0,0,1,0,0,1,25;31;30;45;26;47;38;41;21;36;30;28;33;23;38;48;54;26;34;20;44;44;22;23;32,35;68,37,839,103,37,44,44,0,0,1,0,0,0,0,
2008,ATL,REG,16,265,434,3440,16,11,17,-104,2,1,3986,1325,157,82.0217792453985,1.18617479693833,1,560,2443,23,7,3,139,-11.3308090854742,0,265,0,3440,16,3,3,3986,1325,157,266.54619942954,1,1,652,152,176,0,0,10,33,240,58,10,233,77,2,4,1,19,6,8,8,8,1,72,591,44,43,379,59,1408,29,31,2,0,50,0.935483870967742,0,11,7,10,1,0,0,0,1,0,1,0,50;25;32;27;24;27;33;44;44;42;41;29;48;32;41;48;48;22;27;46;36;23;35;40;23;26;34;22;39,33;51,,1008,84,0,42,42,0,0,1,2,2,0,0,48;34
2008,BAL,REG,16,261,433,3085,16,12,34,-278,6,2,3737,1401,148,3.10143389330734,-0.617073590938862,1,591,2382,20,11,3,139,-22.6253590446792,0,261,1,3085,16,5,4,3737,1401,148,233.389719176317,1,0,582,154,192,0,0,12,33,246,86,26,478,104,5,4,3,0,15,20,8,8,1,104,791,64,44,378,50,1007,28,35,6,1,54,0.8,0,11,11,5,1,0,0,0,0,4,2,0,21;33;20;38;37;47;28;38;30;41;32;22;54;38;44;42;27;21;32;28;26;28;26;29;37;35;32;41,47;48;45;50;53;48,32,927,291,32,41,41,0,0,1,0,0,0,0,
2008,BUF,REG,16,309,479,3302,14,15,38,-262,11,7,3522,1366,168,-26.2930960209501,1.66181677605136,1,439,1842,16,7,4,113,-16.3605937810368,0,309,0,3302,14,7,3,3522,1366,168,232.021812142295,1,2,610,176,230,0,0,14,23,160,52,10,217,79,3,4,0,0,17,20,13,13,0,71,538,70,30,464,76,1816,30,38,7,1,53,0.789473684210526,1,7,11,10,1,0,0,1,0,5,1,0,35;38;21;45;38;45;35;45;48;38;27;44;19;43;47;53;25;26;31;21;39;34;38;22;40;34;48;37;49;28,46;52;43;47;20;40;47,52,1093,295,52,34,34,0,0,1,1,2,1,0,38;47
2008,CAR,REG,16,246,414,3284,15,12,20,-130,3,2,3876,1235,152,38.6183755421797,-1.14528635158915,0,504,2439,30,3,2,120,25.2044290896138,1,246,1,3284,15,4,3,3876,1226,152,244.924754541022,0,0,736,95,161,0,0,17,37,230,50,12,192,84,0,1,0,0,4,4,13,13,2,94,637,51,42,453,60,1372,28,31,3,0,50,0.903225806451613,0,7,9,11,1,0,0,0,0,1,2,0,44;33;30;49;37;45;43;44;32;43;20;39;48;28;23;50;32;29;23;21;33;39;44;42;45;26;34;42,54;50;41,,1018,145,0,46,46,0,0,1,1,1,0,0,42
2008,CHI,REG,16,306,530,3236,20,14,29,-168,3,2,4264,1490,155,-44.0148473561144,-2.96383790414909,1,432,1666,15,4,4,103,-47.9020641073711,0,306,1,3236,20,5,3,4264,1490,155,230.936435467874,1,3,756,130,172,0,0,8,28,217,71,22,312,106,1,6,1,26,4,6,10,10,3,78,610,63,39,261,77,1919,26,29,1,2,48,0.896551724137931,0,6,12,8,0,0,0,0,0,1,0,0,41;25;26;40;43;28;41;37;45;36;32;26;48;36;41;35;43;38;22;36;35;28;35;31;38;37,49,42;48,923,49,90,41,41,0,0,1,2,2,0,0,35;38
2008,CIN,REG,16,304,514,2682,11,15,51,-271,10,4,3688,1179,146,-109.042417925075,-3.39594782289281,0,419,1515,6,10,5,87,-75.2425801392947,0,304,0,2682,11,2,1,3688,1179,146,187.590400554505,0,0,618,127,375,0,0,13,17,122,60,12,236,83,1,0,0,0,14,17,12,12,2,75,591,59,32,253,67,1551,22,25,3,0,45,0.88,1,6,6,9,0,0,0,0,1,2,0,0,43;22;30;21;42;45;41;31;40;26;43;32;20;41;26;21;19;32;45;38;30;43,37;47;48,,731,132,0,18,18,0,0,1,0,1,1,0,47
2008,CLE,REG,16,238,488,2541,11,20,25,-160,4,1,3707,1204,127,-106.313810368958,-11.5602835858584,2,408,1604,6,8,1,94,-26.1894899810456,0,238,2,2541,11,4,3,3707,1194,127,193.631404129575,2,1,672,186,238,0,0,11,18,97,48,23,406,68,2,1,0,0,10,16,8,8,0,100,669,57,30,251,58,1312,30,36,6,0,56,0.833333333333333,0,10,12,5,3,0,0,0,2,1,3,0,34;31;38;38;25;29;28;26;37;32;20;42;23;54;24;52;33;40;33;43;22;56;32;32;34;25;47;41;39;27,51;54;39;34;44;53,,1037,275,0,18,18,0,0,1,0,0,0,0,
2008,DAL,REG,16,328,548,3988,29,20,31,-199,7,4,4998,1790,172,20.4212455825143,3.07243234678811,0,401,1723,12,9,4,108,-19.5054124632855,0,328,0,3988,29,7,3,4998,1783,172,298.969389591667,0,1,668,73,263,0,0,17,58,364,106,8,36,60,1,3,1,0,13,17,14,14,0,120,957,51,38,230,70,1554,20,22,2,0,52,0.909090909090909,0,1,7,10,2,0,0,0,1,1,0,0,51;47;25;39;36;30;52;38;45;48;41;47;42;41;42;44;33;35;37;42,37;46,,815,83,0,42,42,0,0,1,0,0,0,0,
2008,DEN,REG,16,386,620,4544,25,18,12,-74,2,1,5517,1823,223,126.788419736259,1.51430828960174,1,387,1863,15,8,6,111,5.64685150157374,1,386,0,4544,25,5,4,5517,1820,223,347.76063201837,1,0,664,152,230,0,0,9,25,131,41,6,63,52,0,2,0,0,4,6,7,7,2,77,739,52,20,196,71,1550,25,34,9,0,56,0.735294117647059,0,7,8,5,5,0,0,1,1,6,1,0,26;43;52;27;34;56;51;22;33;55;40;27;39;50;35;30;20;44;25;35;33;43;23;30;43,28;49;38;49;47;43;48;47;54,,916,403,0,39,40,1,0,0.975,0,0,0,0,
