season,team,season_type,games,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance_list
2006,ARI,REG,16,321,544,3919,17,17,34,-257,10,3,4284,1603,187,13.1259572885328,-2.87147310423102,0,421,1338,12,11,5,92,-62.5752625000947,0,321,0,3919,17,3,2,4284,1582,187,294.41473954425,0,1,733,128,156,0,0,20,38,238,63,16,350,84,1,4,0,0,15,20,17,17,2,117,937,58,25,250,73,1610,28,37,9,0,50,0.756756756756757,0,11,9,7,1,0,0,0,0,3,6,0,36;30;43;29;41;45;41;28;29;29;45;38;28;36;21;50;23;20;32;40;49;38;25;39;37;32;28;20,51;53;51;52;40;49;41;53;50,,952,440,0,32,32,0,0,1,0,1,1,0,40
2006,ATL,REG,16,223,417,2682,21,15,47,-311,5,1,4698,945,133,-72.2415757997866,-3.23613291273189,0,537,2939,9,8,3,139,23.5624118181982,0,223,0,2682,21,3,1,4698,942,133,210.233936506034,0,0,634,165,211,0,0,19,37,235,55,12,254,75,1,0,0,0,10,12,14,16,1,96,877,63,37,288,68,1542,23,32,6,3,51,0.71875,0,8,7,7,1,0,0,0,2,2,2,0,25;32;26;34;40;51;36;26;28;25;32;42;40;39;44;41;21;22;30;34;23;40;45,50;30;36;40;52;43,50;30;25,776,251,105,31,31,0,0,1,1,1,0,0,32
2006,BAL,REG,16,328,524,3535,21,14,17,-100,3,0,4082,1392,179,52.0298609215285,2.60964310431219,0,476,1637,11,12,5,97,-79.5381054102063,0,328,0,3535,21,3,3,4082,1391,179,262.669732098275,0,0,605,157,205,0,0,13,60,418,103,28,544,111,5,2,2,0,11,17,12,12,1,109,878,56,45,351,45,1046,28,30,2,0,52,0.933333333333333,0,12,9,6,1,0,0,1,0,1,0,0,20;42;25;33;37;23;32;43;52;24;43;25;36;35;27;40;29;37;40;41;23;38;22;26;26;37;39;29,42;29,,924,71,0,37,37,0,0,1,0,0,0,0,
2006,BUF,REG,16,269,432,3050,19,14,47,-332,7,6,3833,1246,132,-28.48288438996,3.22900133494714,0,420,1552,9,12,5,93,-60.5823776276573,0,269,0,3050,19,1,1,3833,1243,132,230.991400875291,0,1,571,259,373,0,0,16,35,246,60,13,203,87,2,4,0,2,12,17,11,11,2,87,629,51,39,421,63,1504,23,25,2,0,53,0.92,0,8,5,8,2,0,0,0,0,2,0,0,53;33;45;43;36;28;28;53;40;46;28;22;30;43;40;21;42;34;21;36;45;21;24,44;41,,812,85,0,33,33,0,0,1,1,2,1,0,41;42
2006,CAR,REG,16,325,539,3486,19,17,32,-222,7,4,4348,1555,158,-33.8970499253271,-0.0508603222161832,0,423,1659,7,7,3,105,-49.4837129635733,0,325,0,3486,19,2,1,4348,1553,158,230.431618635623,0,0,694,110,224,0,0,16,41,265,69,14,125,77,2,3,1,2,9,10,7,7,0,103,744,55,49,225,62,1204,24,27,3,0,54,0.888888888888889,2,6,4,8,4,0,0,0,0,0,2,1,54;46;25;26;51;50;49;46;24;19;21;31;21;28;40;34;42;51;45;37;45;37;42;19,53;65;50,,883,168,0,28,28,0,0,1,1,1,0,0,46
2006,CHI,REG,16,282,514,3450,24,22,24,-164,4,3,4564,1400,161,-25.2754875043338,-3.79021860969564,0,504,1913,14,5,4,112,-29.5738421999507,0,282,0,3450,24,5,3,4564,1374,161,279.287822368285,0,6,666,204,228,0,0,28,38,272,75,23,279,84,1,8,1,108,10,12,21,21,2,112,923,44,50,616,60,1373,32,36,3,1,49,0.888888888888889,0,6,14,12,0,0,0,0,2,1,0,0,40;39;28;30;32;45;41;24;31;49;36;20;41;42;43;32;41;23;43;36;38;38;49;20;46;32;38;25;36;36;39;44,37;49;37,45,1157,123,45,47,47,0,0,1,1,1,0,0,25
2006,CIN,REG,16,327,523,4067,28,13,37,-240,13,7,5065,1466,201,65.5524873158945,5.67952605937176,0,434,1635,14,8,2,90,-38.5234178581565,0,327,0,4067,28,1,1,5065,1466,201,333.778478801868,0,0,663,116,354,0,0,14,35,211,77,19,248,99,1,1,0,0,13,15,12,12,0,92,717,65,36,239,58,1209,25,30,5,0,51,0.833333333333333,0,9,8,6,2,0,0,0,1,2,1,1,37;42;36;37;37;40;45;37;47;23;51;26;51;31;21;44;21;24;23;27;27;30;28;46;34,44;62;51;46;39,,865,242,0,40,42,1,1,0.952380952380952,0,1,1,0,62
2006,CLE,REG,16,317,510,3242,15,25,54,-349,7,5,3766,1533,153,-113.215030981248,3.20535418835092,0,373,1340,7,11,9,76,-74.8382276916051,0,317,0,3242,15,2,1,3766,1533,153,218.10157631041,0,1,633,210,258,0,0,8,30,148,77,18,256,82,1,2,0,0,6,7,9,9,1,74,687,74,36,371,71,1635,21,29,7,1,51,0.724137931034483,0,5,9,6,1,0,0,1,0,6,0,0,30;28;41;47;22;32;47;21;37;20;42;30;36;35;43;23;35;33;51;43;36,48;26;44;48;40;47;48,31,732,301,31,25,25,0,0,1,1,1,0,0,33
2006,DAL,REG,16,310,506,4067,26,21,37,-231,7,4,4681,1441,197,74.1422978316882,4.2828267831711,1,473,1936,21,6,2,115,-8.34596432636548,1,310,0,4067,26,1,0,4681,1427,197,359.952958494584,1,1,677,67,223,0,0,20,34,223,52,18,134,96,3,2,0,14,11,15,13,13,1,100,939,44,40,335,64,1493,20,28,7,1,50,0.714285714285714,0,7,8,4,1,0,0,1,1,5,0,0,32;26;50;43;39;22;21;38;24;33;30;28;38;22;41;35;46;24;48;39,36;26;48;43;46;44;43,35,679,286,35,49,49,0,0,1,1,1,0,0,46
2006,DEN,REG,16,256,454,2995,20,18,31,-196,7,3,4330,1235,152,-33.1840894008428,-2.42513580417091,0,488,2152,12,12,4,113,-14.7252530681923,0,256,0,2995,20,5,3,4330,1233,152,229.926121614195,0,0,697,149,237,0,0,22,37,209,58,17,244,77,2,4,0,0,14,18,13,13,0,67,478,60,32,294,54,1187,27,29,2,0,51,0.931034482758621,0,10,10,6,1,0,0,0,0,2,0,0,49;23;22;39;23;43;44;51;22;32;49;32;24;42;38;31;37;41;34;33;30;22;30;24;22;21;22,44;43,,880,87,0,34,34,0,0,1,1,1,0,0,39
